hilos,tiempo_secuencial_s,tiempo_paralelo_s,speedup,eficiencia
1,0.130811,0.139551,0.9374,0.9374
2,0.130811,0.071523,1.8289,0.9145
4,0.130811,0.043579,3.0017,0.7504
8,0.130811,0.040761,3.2092,0.4012
