hilos,tiempo_secuencial_s,tiempo_paralelo_s,speedup,eficiencia
1,0.018840,0.019554,0.9635,0.9635
2,0.018840,0.019314,0.9755,0.4877
4,0.018840,0.020129,0.9360,0.2340
8,0.018840,0.021660,0.8698,0.1087
